names_of_apps,apple_price,google_price,apple_rating,google_rating,apple_content_rating,google_content_rating,apple_genre,google_genre,google_install_count,net_income_by_apple_rating,net_income_by_google_rating,avg_income
WHATSAPP MESSENGER,0,0,4.5,4.5,4+,Everyone,Social Networking,Communication,1000000000,470000,470000,940000
CANDY CRUSH SAGA,0,0,4.5,4.5,4+,Everyone,Games,Casual,500000000,470000,470000,940000
MICROSOFT WORD,0,0,4.5,4.5,4+,Everyone,Productivity,Productivity,500000000,470000,470000,940000
MY TALKING TOM,0,0,4.5,4.5,4+,Everyone,Games,Casual,500000000,470000,470000,940000
POU,0,0,4.5,4.5,4+,Everyone,Games,Casual,500000000,470000,470000,940000
TEMPLE RUN 2,0,0,4.5,4.5,9+,Everyone,Games,Action,500000000,470000,470000,940000
AGAR.IO,0,0,4.5,4.5,9+,Everyone,Games,Action,100000000,470000,470000,940000
ANGRY BIRDS 2,0,0,4,5,4+,Everyone,Games,Casual,100000000,422000,518000,940000
ANGRY BIRDS RIO,0,0,4.5,4.5,4+,Everyone,Games,Arcade,100000000,470000,470000,940000
ANGRY BIRDS STAR WARS,0,0,4.5,4.5,4+,Everyone,Games,Arcade,100000000,470000,470000,940000
ASPHALT 8: AIRBORNE,0,0,4.5,4.5,12+,Teen,Games,Racing,100000000,470000,470000,940000
CANDY CRUSH SODA SAGA,0,0,4.5,4.5,4+,Everyone,Games,Casual,100000000,470000,470000,940000
COOKING FEVER,0,0,4.5,4.5,4+,Everyone,Games,Arcade,100000000,470000,470000,940000
DUBSMASH,0,0,4.5,4.5,12+,Teen,Entertainment,Video Players & Editors,100000000,470000,470000,940000
FARM HEROES SAGA,0,0,4.5,4.5,4+,Everyone,Games,Casual,100000000,470000,470000,940000
FLOW FREE,0,0,4.5,4.5,4+,Everyone,Games,Puzzle,100000000,470000,470000,940000
FRUIT NINJA®,0,0,4.5,4.5,4+,Everyone,Games,Arcade,100000000,470000,470000,940000
GOOGLE DOCS,0,0,4.5,4.5,4+,Everyone,Productivity,Productivity,100000000,470000,470000,940000
GOOGLE SHEETS,0,0,4.5,4.5,4+,Everyone,Productivity,Productivity,100000000,470000,470000,940000
HAY DAY,0,0,4.5,4.5,4+,Everyone,Games,Casual,100000000,470000,470000,940000
HILL CLIMB RACING,0,0,4.5,4.5,9+,Everyone,Games,Racing,100000000,470000,470000,940000
HUNGRY SHARK EVOLUTION,0,0,4.5,4.5,12+,Teen,Games,Arcade,100000000,470000,470000,940000
JETPACK JOYRIDE,0,0,4.5,4.5,9+,Everyone 10+,Games,Arcade,100000000,470000,470000,940000
MICROSOFT EXCEL,0,0,4.5,4.5,4+,Everyone,Productivity,Productivity,100000000,470000,470000,940000
MICROSOFT ONENOTE,0,0,4.5,4.5,4+,Everyone,Productivity,Productivity,100000000,470000,470000,940000
MOBILE LEGENDS: BANG BANG,0,0,4.5,4.5,12+,Teen,Games,Action,100000000,470000,470000,940000
MY TALKING ANGELA,0,0,4.5,4.5,4+,Everyone,Games,Casual,100000000,470000,470000,940000
PICSART PHOTO STUDIO: COLLAGE MAKER & PIC EDITOR,0,0,4.5,4.5,12+,Teen,Photo & Video,Photography,100000000,470000,470000,940000
ROBLOX,0,0,4.5,4.5,12+,Everyone 10+,Games,Adventure;Action & Adventure,100000000,470000,470000,940000
SMASH HIT,0,0,4.5,4.5,4+,Everyone,Games,Arcade,100000000,470000,470000,940000
SONIC DASH,0,0,4.5,4.5,4+,Everyone,Games,Arcade,100000000,470000,470000,940000
TEMPLE RUN,0,0,4.5,4.5,9+,Everyone,Games,Arcade,100000000,470000,470000,940000
TRAFFIC RACER,0,0,4.5,4.5,4+,Everyone,Games,Racing,100000000,470000,470000,940000
TRIVIA CRACK,0,0,4.5,4.5,4+,Everyone,Games,Trivia,100000000,470000,470000,940000
WECHAT,0,0,4.5,4.5,12+,Everyone,Social Networking,Communication,100000000,470000,470000,940000
WISH - SHOPPING MADE FUN,0,0,4.5,4.5,12+,Everyone,Shopping,Shopping,100000000,470000,470000,940000
ZOMBIE TSUNAMI,0,0,4.5,4.5,4+,Everyone 10+,Games,Arcade,100000000,470000,470000,940000
AA,0,0,4.5,4.5,4+,Everyone,Games,Strategy,50000000,470000,470000,940000
BAD PIGGIES,0,0,4.5,4.5,4+,Everyone,Games,Puzzle,50000000,470000,470000,940000
BOOM BEACH,0,0,4.5,4.5,9+,Everyone 10+,Games,Strategy,50000000,470000,470000,940000
DEER HUNTER CLASSIC,0,0,4.5,4.5,17+,Teen,Games,Action,50000000,470000,470000,940000
EPISODE - CHOOSE YOUR STORY,0,0,4.5,4.5,12+,Teen,Games,Simulation,50000000,470000,470000,940000
FROZEN FREE FALL,0,0,4.5,4.5,4+,Everyone,Games,Puzzle;Action & Adventure,50000000,470000,470000,940000
HUNGRY SHARK WORLD,0,0,4.5,4.5,12+,Teen,Games,Action,50000000,470000,470000,940000
MARVEL CONTEST OF CHAMPIONS,0,0,4.5,4.5,12+,Teen,Games,Action,50000000,470000,470000,940000
NEED FOR SPEED™ NO LIMITS,0,0,4.5,4.5,4+,Everyone 10+,Games,Racing,50000000,470000,470000,940000
PHOTO EDITOR BY AVIARY,0,0,4.5,4.5,12+,Everyone,Photo & Video,Photography,50000000,470000,470000,940000
ROLLING SKY,0,0,4.5,4.5,4+,Everyone,Games,Board,50000000,470000,470000,940000
SIMCITY BUILDIT,0,0,4.5,4.5,4+,Everyone 10+,Games,Simulation,50000000,470000,470000,940000
SUMMONERS WAR,0,0,4.5,4.5,12+,Teen,Games,Role Playing,50000000,470000,470000,940000
SWAMP ATTACK,0,0,4.5,4.5,17+,Everyone 10+,Games,Action,50000000,470000,470000,940000
TALKING GINGER 2,0,0,4.5,4.5,4+,Everyone,Entertainment,Entertainment,50000000,470000,470000,940000
TALKING TOM BUBBLE SHOOTER,0,0,4.5,4.5,4+,Everyone,Games,Casual,50000000,470000,470000,940000
VERIZON CLOUD,0,0,4.5,4.5,4+,Everyone,Productivity,Productivity,50000000,470000,470000,940000
YOUTUBE KIDS,0,0,4.5,4.5,4+,Everyone,Entertainment,Entertainment;Music & Video,50000000,470000,470000,940000
ANGRY BIRDS EPIC RPG,0,0,4.5,4.5,4+,Everyone,Games,Role Playing,10000000,470000,470000,940000
BAD PIGGIES HD,0,0,4.5,4.5,4+,Everyone,Games,Puzzle,10000000,470000,470000,940000
BULLET FORCE,0,0,4.5,4.5,17+,Teen,Games,Action,10000000,470000,470000,940000
CALL OF DUTY®: HEROES,0,0,4.5,4.5,12+,Teen,Games,Action,10000000,470000,470000,940000
CLASSDOJO,0,0,4.5,4.5,4+,Everyone,Education,Education;Education,10000000,470000,470000,940000
DECK HEROES: LEGACY,0,0,4,5,17+,Teen,Games,Card,10000000,422000,518000,940000
DESIGN HOME,0,0,4.5,4.5,4+,Everyone,Games,Simulation,10000000,470000,470000,940000
DISCORD - CHAT FOR GAMERS,0,0,4.5,4.5,4+,Teen,Social Networking,Communication,10000000,470000,470000,940000
DISNEY CROSSY ROAD,0,0,4.5,4.5,4+,Everyone,Games,Arcade;Action & Adventure,10000000,470000,470000,940000
DUDE PERFECT 2,0,0,4.5,4.5,4+,Everyone,Games,Action,10000000,470000,470000,940000
FANDANGO MOVIES - TIMES + TICKETS,0,0,4,5,4+,Teen,Entertainment,Entertainment,10000000,422000,518000,940000
GMX MAIL,0,0,4.5,4.5,4+,Everyone,Productivity,Communication,10000000,470000,470000,940000
GROUPME,0,0,4.5,4.5,4+,Everyone,Social Networking,Communication,10000000,470000,470000,940000
HOT WHEELS: RACE OFF,0,0,4.5,4.5,4+,Everyone,Games,Racing;Action & Adventure,10000000,470000,470000,940000
INJUSTICE: GODS AMONG US,0,0,4.5,4.5,12+,Teen,Games,Action,10000000,470000,470000,940000
INSIDE OUT THOUGHT BUBBLES,0,0,4.5,4.5,4+,Everyone,Games,Puzzle;Brain Games,10000000,470000,470000,940000
KIM KARDASHIAN: HOLLYWOOD,0,0,4.5,4.5,12+,Teen,Games,Adventure,10000000,470000,470000,940000
MORTAL KOMBAT X,0,0,4.5,4.5,17+,Mature 17+,Games,Action,10000000,470000,470000,940000
MY EMMA :),0,0,4.5,4.5,4+,Everyone,Games,Casual,10000000,470000,470000,940000
MY HORSE,0,0,4.5,4.5,4+,Everyone,Games,Casual,10000000,470000,470000,940000
NYAN CAT: LOST IN SPACE,0,0,4.5,4.5,4+,Everyone 10+,Games,Arcade,10000000,470000,470000,940000
PES CLUB MANAGER,0,0,4.5,4.5,4+,Everyone,Games,Sports,10000000,470000,470000,940000
PINEAPPLE PEN,0,0,4.5,4.5,4+,Everyone,Games,Arcade,10000000,470000,470000,940000
PLANTS VS. ZOMBIES™ 2,0,0,4.5,4.5,9+,Everyone 10+,Games,Casual,10000000,470000,470000,940000
PLANTS VS. ZOMBIES™ HEROES,0,0,4.5,4.5,9+,Everyone,Games,Casual;Action & Adventure,10000000,470000,470000,940000
REAL BASKETBALL,0,0,4.5,4.5,4+,Everyone,Games,Sports,10000000,470000,470000,940000
REAL RACING 3,0,0,4.5,4.5,4+,Everyone,Games,Racing;Action & Adventure,10000000,470000,470000,940000
STAR CHART,0,0,4.5,4.5,4+,Everyone,Education,Education;Education,10000000,470000,470000,940000
STAR WARS™: GALAXY OF HEROES,0,0,4.5,4.5,9+,Everyone 10+,Games,Role Playing,10000000,470000,470000,940000
STARBUCKS,0,0,4.5,4.5,4+,Everyone,Food & Drink,Food & Drink,10000000,470000,470000,940000
SUPER JABBER JUMP,0,0,4.5,4.5,4+,Everyone,Games,Arcade,10000000,470000,470000,940000
THE SIMS™ FREEPLAY,0,0,4.5,4.5,12+,Teen,Games,Simulation,10000000,470000,470000,940000
TRANSFORMERS: EARTH WARS,0,0,4.5,4.5,12+,Everyone,Games,Strategy,10000000,470000,470000,940000
WGT GOLF GAME BY TOPGOLF,0,0,4.5,4.5,17+,Everyone,Games,Sports,10000000,470000,470000,940000
XBOX,0,0,4.5,4.5,12+,Everyone,Entertainment,Entertainment,10000000,470000,470000,940000
YAHOO WEATHER,0,0,4.5,4.5,4+,Everyone,Weather,Weather,10000000,470000,470000,940000
ZARA,0,0,4.5,4.5,4+,Everyone,Shopping,Lifestyle,10000000,470000,470000,940000
ADOBE ILLUSTRATOR DRAW,0,0,4.5,4.5,4+,Everyone,Productivity,Photography,5000000,470000,470000,940000
BEJEWELED CLASSIC,0,0,4.5,4.5,4+,Everyone,Games,Casual,5000000,470000,470000,940000
"BLEACHER REPORT: SPORTS NEWS, SCORES, & HIGHLIGHTS",0,0,4.5,4.5,12+,Everyone 10+,Sports,Sports,5000000,470000,470000,940000
PAC-MAN POP,0,0,4.5,4.5,4+,Everyone,Games,Puzzle;Action & Adventure,5000000,470000,470000,940000
PHOTO EDITOR-,0,0,4.5,4.5,4+,Everyone,Photo & Video,Photography,5000000,470000,470000,940000
SMASHY ROAD: ARENA,0,0,4.5,4.5,9+,Everyone 10+,Games,Action,5000000,470000,470000,940000
THE CW,0,0,4.5,4.5,12+,Teen,Entertainment,Entertainment,5000000,470000,470000,940000
TOMB OF THE MASK,0,0,4.5,4.5,9+,Everyone,Games,Action,5000000,470000,470000,940000
TRELLO,0,0,4.5,4.5,4+,Everyone,Productivity,Productivity,5000000,470000,470000,940000
ARMY OF HEROES,0,0,4.5,4.5,12+,Everyone 10+,Games,Strategy,1000000,470000,470000,940000
DOORDASH - FOOD DELIVERY,0,0,4.5,4.5,4+,Everyone,Food & Drink,Food & Drink,1000000,470000,470000,940000
GEAR.CLUB - TRUE RACING,0,0,4.5,4.5,4+,Everyone,Games,Racing,1000000,470000,470000,940000
OK K.O.! LAKEWOOD PLAZA TURBO,0,0,4.5,4.5,9+,Everyone 10+,Games,Action;Action & Adventure,1000000,470000,470000,940000
REGAL CINEMAS,0,0,4.5,4.5,4+,Everyone,Entertainment,Entertainment,1000000,470000,470000,940000
SEVEN - 7 MINUTE WORKOUT TRAINING CHALLENGE,0,0,4.5,4.5,4+,Everyone,Health & Fitness,Health & Fitness,1000000,470000,470000,940000
THE WASHINGTON POST CLASSIC,0,0,4.5,4.5,12+,Everyone 10+,News,News & Magazines,1000000,470000,470000,940000
WISHBONE - COMPARE ANYTHING,0,0,4.5,4.5,12+,Teen,Social Networking,Social,1000000,470000,470000,940000
SOLITAIRE,0,0,4.5,4.5,4+,Everyone,Games,Card;Brain Games,100000,470000,470000,940000
GOOGLE STREET VIEW,0,0,4,4.5,4+,Everyone,Travel,Travel & Local,1000000000,422000,470000,892000
GOOGLE SLIDES,0,0,4,4.5,4+,Everyone,Productivity,Productivity,100000000,422000,470000,892000
KIK,0,0,4,4.5,12+,Teen,Social Networking,Communication,100000000,422000,470000,892000
MICROSOFT POWERPOINT,0,0,4,4.5,4+,Everyone,Productivity,Productivity,100000000,422000,470000,892000
TUMBLR,0,0,4,4.5,17+,Mature 17+,Social Networking,Social,100000000,422000,470000,892000
AMAZON PRIME VIDEO,0,0,4,4.5,12+,Teen,Entertainment,Entertainment,50000000,422000,470000,892000
ANGRY BIRDS FRIENDS,0,0,4,4.5,4+,Everyone,Games,Arcade,50000000,422000,470000,892000
ANGRY BIRDS GO!,0,0,4,4.5,4+,Everyone,Games,Racing,50000000,422000,470000,892000
CANDY CRUSH JELLY SAGA,0,0,4,4.5,4+,Everyone,Games,Puzzle,50000000,422000,470000,892000
DUMB WAYS TO DIE 2: THE GAMES,0,0,4,4.5,12+,Teen,Games,Casual,50000000,422000,470000,892000
INDEED JOB SEARCH,0,0,4,4.5,4+,Everyone,Business,Business,50000000,422000,470000,892000
LEGO® JUNIORS CREATE & CRUISE,0,0,4,4.5,4+,Everyone,Games,Educational;Action & Adventure,50000000,422000,470000,892000
NBA LIVE MOBILE BASKETBALL,0,0,4,4.5,4+,Everyone,Games,Sports,50000000,422000,470000,892000
SNAPSEED,0,0,4,4.5,4+,Everyone,Photo & Video,Photography,50000000,422000,470000,892000
TOM'S LOVE LETTERS,0,0,4,4.5,4+,Everyone,Entertainment,Entertainment,50000000,422000,470000,892000
UNO ™ & FRIENDS,0,0,4,4.5,9+,Everyone,Games,Card,50000000,422000,470000,892000
AIRBNB,0,0,4,4.5,4+,Everyone,Travel,Travel & Local,10000000,422000,470000,892000
BEJEWELED BLITZ,0,0,4,4.5,4+,Everyone,Games,Puzzle,10000000,422000,470000,892000
DIEP.IO,0,0,4,4.5,9+,Everyone,Games,Action,10000000,422000,470000,892000
DRAGON BALL Z DOKKAN BATTLE,0,0,4,4.5,9+,Teen,Games,Action,10000000,422000,470000,892000
FARMING SIMULATOR 14,0,0,4,4.5,4+,Everyone,Games,Simulation;Action & Adventure,10000000,422000,470000,892000
GOOGLE CLASSROOM,0,0,4,4.5,4+,Everyone,Education,Education,10000000,422000,470000,892000
KING OF AVALON: DRAGON WARFARE,0,0,4,4.5,9+,Everyone 10+,Games,Strategy,10000000,422000,470000,892000
MARVEL AVENGERS ACADEMY,0,0,4,4.5,9+,Teen,Games,Adventure,10000000,422000,470000,892000
MY LITTLE PONY: HARMONY QUEST,0,0,4,4.5,4+,Everyone,Entertainment,Casual;Action & Adventure,10000000,422000,470000,892000
PLAYKIDS - EDUCATIONAL CARTOONS AND GAMES FOR KIDS,0,0,4,4.5,4+,Everyone,Education,Entertainment;Music & Video,10000000,422000,470000,892000
PUFFIN WEB BROWSER,0,0,4,4.5,17+,Everyone,Utilities,Communication,10000000,422000,470000,892000
SHOPKINS WORLD!,0,0,4,4.5,4+,Everyone,Games,Arcade;Action & Adventure,10000000,422000,470000,892000
T-MOBILE,0,0,4,4.5,4+,Everyone,Productivity,Tools,10000000,422000,470000,892000
TED,0,0,3.5,5,12+,Everyone 10+,Education,Education,10000000,374000,518000,892000
THE SIMPSONS™: TAPPED OUT,0,0,4,4.5,12+,Teen,Games,Casual,10000000,422000,470000,892000
WATCHESPN,0,0,4,4.5,4+,Everyone,Sports,Sports,10000000,422000,470000,892000
WEB.DE MAIL,0,0,4,4.5,4+,Everyone,Productivity,Communication,10000000,422000,470000,892000
WWE,0,0,4,4.5,12+,Teen,Entertainment,Entertainment,10000000,422000,470000,892000
ADP MOBILE SOLUTIONS,0,0,4,4.5,4+,Everyone,Business,Business,5000000,422000,470000,892000
ANGRY BIRDS SPACE HD,0,0,4,4.5,4+,Everyone,Games,Arcade,5000000,422000,470000,892000
BEST BUY,0,0,4,4.5,4+,Everyone,Shopping,Shopping,5000000,422000,470000,892000
BIKE UNCHAINED,0,0,4,4.5,4+,Everyone,Games,Sports,5000000,422000,470000,892000
CARTOON WARS 3,0,0,4,4.5,12+,Teen,Games,Role Playing,5000000,422000,470000,892000
CRAZY FREEKICK,0,0,4.5,4,4+,Everyone,Games,Sports,5000000,470000,422000,892000
FIT THE FAT 2,0,0,4.5,4,4+,Everyone,Games,Sports,5000000,470000,422000,892000
PEGGLE BLAST,0,0,4,4.5,9+,Everyone,Games,Card,5000000,422000,470000,892000
TINY ARCHERS,0,0,4,4.5,12+,Mature 17+,Games,Action,5000000,422000,470000,892000
USAA MOBILE,0,0,4,4.5,4+,Everyone,Finance,Finance,5000000,422000,470000,892000
AMEX MOBILE,0,0,4,4.5,4+,Everyone,Finance,Finance,1000000,422000,470000,892000
AO ONI2,0,0,4,4.5,12+,Teen,Games,Adventure,1000000,422000,470000,892000
DRIVING ZONE,0,0,4,4.5,4+,Everyone,Games,Racing,1000000,422000,470000,892000
FIREFOX FOCUS: THE PRIVACY BROWSER,0,0,4,4.5,17+,Everyone,Utilities,Communication,1000000,422000,470000,892000
INFINITE PAINTER,0,0,4,4.5,4+,Everyone,Productivity,Art & Design,1000000,422000,470000,892000
NASCAR MOBILE,0,0,4,4.5,4+,Everyone,Sports,Sports,1000000,422000,470000,892000
SONIC DRIVE-IN,0,0,4,4.5,4+,Everyone,Food & Drink,Food & Drink,1000000,422000,470000,892000
ENDLESS DUCKER,0,0,4,4.5,4+,Everyone,Games,Arcade,500000,422000,470000,892000
FACEBOOK,0,0,3.5,4.5,4+,Teen,Social Networking,Social,1000000000,374000,470000,844000
HANGOUTS,0,0,4,4,4+,Everyone,Social Networking,Communication,1000000000,422000,422000,844000
DROPBOX,0,0,3.5,4.5,4+,Everyone,Productivity,Productivity,500000000,374000,470000,844000
GOOGLE TRANSLATE,0,0,3.5,4.5,4+,Everyone,Reference,Tools,500000000,374000,470000,844000
TWITTER,0,0,3.5,4.5,17+,Mature 17+,News,News & Magazines,500000000,374000,470000,844000
GOOGLE EARTH,0,0,3.5,4.5,4+,Everyone,Travel,Travel & Local,100000000,374000,470000,844000
LINKEDIN,0,0,3.5,4.5,4+,Everyone,Social Networking,Social,100000000,374000,470000,844000
NETFLIX,0,0,3.5,4.5,4+,Teen,Entertainment,Entertainment,100000000,374000,470000,844000
SLITHER.IO,0,0,3.5,4.5,4+,Everyone,Games,Action,100000000,374000,470000,844000
SPEEDTEST BY OOKLA,0,0,3.5,4.5,4+,Everyone,Utilities,Tools,100000000,374000,470000,844000
BOOMERANG FROM INSTAGRAM,0,0,3.5,4.5,4+,Everyone,Photo & Video,Photography,50000000,374000,470000,844000
VSCO,0,0,3.5,4.5,12+,Everyone,Photo & Video,Photography,50000000,374000,470000,844000
DIRECTV,0,0,3.5,4.5,4+,Teen,Entertainment,Entertainment,10000000,374000,470000,844000
EDMODO,0,0,3.5,4.5,4+,Everyone,Education,Education,10000000,374000,470000,844000
FITBIT,0,0,4,4,4+,Everyone,Health & Fitness,Health & Fitness,10000000,422000,422000,844000
IFUNNY :),0,0,3.5,4.5,17+,Mature 17+,Entertainment,Entertainment,10000000,374000,470000,844000
INGRESS,0,0,3.5,4.5,9+,Everyone,Games,Adventure,10000000,374000,470000,844000
JUST DANCE NOW,0,0,3.5,4.5,4+,Everyone,Games,Music,10000000,374000,470000,844000
NBA,0,0,3.5,4.5,4+,Everyone,Sports,Sports,10000000,374000,470000,844000
NICK,0,0,3.5,4.5,4+,Everyone 10+,Entertainment,Entertainment;Music & Video,10000000,374000,470000,844000
STARZ,0,0,3.5,4.5,17+,Mature 17+,Entertainment,Entertainment,10000000,374000,470000,844000
YOUNOW: LIVE STREAM VIDEO CHAT,0,0,3.5,4.5,12+,Teen,Social Networking,Social,10000000,374000,470000,844000
ALLRECIPES DINNER SPINNER,0,0,3.5,4.5,12+,Everyone,Food & Drink,Food & Drink,5000000,374000,470000,844000
CHICK-FIL-A,0,0,3.5,4.5,4+,Everyone,Food & Drink,Food & Drink,5000000,374000,470000,844000
DOES NOT COMMUTE,0,0,4,4,4+,Everyone,Games,Racing,5000000,422000,422000,844000
GEOCACHING®,0,0,3.5,4.5,4+,Teen,Navigation,Health & Fitness,5000000,374000,470000,844000
NBC NEWS,0,0,3.5,4.5,12+,Everyone 10+,News,News & Magazines,5000000,374000,470000,844000
PBS KIDS VIDEO,0,0,3.5,4.5,4+,Everyone,Education,Education;Music & Video,5000000,374000,470000,844000
PREMIER LEAGUE - OFFICIAL APP,0,0,3.5,4.5,12+,Everyone,Sports,Sports,5000000,374000,470000,844000
RISK: GLOBAL DOMINATION,0,0,4,4,9+,Everyone,Games,Board;Action & Adventure,5000000,422000,422000,844000
TIMEHOP,0,0,3.5,4.5,4+,Teen,Social Networking,Social,5000000,374000,470000,844000
"UNIVISION DEPORTES: LIGA MX, MLS, FÚTBOL EN VIVO",0,0,3.5,4.5,4+,Everyone,Sports,Sports,5000000,374000,470000,844000
USA TODAY,0,0,3.5,4.5,4+,Everyone 10+,News,News & Magazines,5000000,374000,470000,844000
KIDS A-Z,0,0,3.5,4.5,4+,Everyone,Education,Education;Education,1000000,374000,470000,844000
PAC-MAN,0,0,3,4.5,4+,Everyone,Games,Arcade,100000000,326000,470000,796000
POKÉMON GO,0,0,3,4.5,9+,Everyone,Games,Adventure,100000000,326000,470000,796000
TINDER,0,0,3.5,4,17+,Mature 17+,Lifestyle,Lifestyle,100000000,374000,422000,796000
UBER,0,0,3,4.5,4+,Everyone,Travel,Maps & Navigation,100000000,326000,470000,796000
MOBILE STRIKE,0,0,3.5,4,12+,Everyone 10+,Games,Strategy,50000000,374000,422000,796000
DB NAVIGATOR,0,0,3.5,4,4+,Everyone,Travel,Maps & Navigation,10000000,374000,422000,796000
EPSON IPRINT,0,0,3,4.5,4+,Everyone,Photo & Video,Tools,10000000,326000,470000,796000
MESSENGER,0,0,3,4.5,4+,Everyone,Social Networking,Social,10000000,326000,470000,796000
REDBOX,0,0,3,4.5,12+,Everyone,Entertainment,Entertainment,10000000,326000,470000,796000
UBER DRIVER,0,0,3,4.5,4+,Everyone,Business,Business,10000000,326000,470000,796000
WELLS FARGO MOBILE,0,0,3,4.5,4+,Everyone,Finance,Finance,10000000,326000,470000,796000
CITI MOBILE®,0,0,3.5,4,4+,Everyone,Finance,Finance,5000000,374000,422000,796000
NHL,0,0,3.5,4,4+,Everyone,Sports,Sports,5000000,374000,422000,796000
THOMAS & FRIENDS: RACE ON!,0,0,3,4.5,4+,Everyone,Games,Casual;Action & Adventure,5000000,326000,470000,796000
WHATABURGER,0,0,3,4.5,4+,Everyone,Food & Drink,Food & Drink,500000,326000,470000,796000
GOOGLE PLAY MOVIES & TV,0,0,3,4,12+,Teen,Entertainment,Video Players & Editors,1000000000,326000,422000,748000
MYAT&T,0,0,3,4,4+,Everyone,Utilities,Productivity,50000000,326000,422000,748000
NFL,0,0,2.5,4.5,4+,Everyone,Sports,Sports,50000000,278000,470000,748000
H&M,0,0,3,4,4+,Everyone,Shopping,Lifestyle,10000000,326000,422000,748000
FLY DELTA,0,0,3,4,4+,Everyone,Travel,Travel & Local,5000000,326000,422000,748000
SOUTHWEST AIRLINES,0,0,3,4,4+,Everyone,Travel,Travel & Local,5000000,326000,422000,748000
BET NOW - WATCH SHOWS,0,0,2.5,4.5,17+,Teen,Entertainment,Entertainment,1000000,278000,470000,748000
MAD LIBS,0,0,3,4,4+,Everyone,Entertainment,Entertainment;Brain Games,1000000,326000,422000,748000
SHOWTIME,0,0,2.5,4.5,17+,Teen,Entertainment,Entertainment,1000000,278000,470000,748000
SKY NEWS,0,0,3,4,12+,Everyone 10+,News,News & Magazines,1000000,326000,422000,748000
